# source
#   data file:		acism01712N000_gti_img1_2.5-3.0.fits
#   degrees/pix:	0.000136667
# background
#   constant value:	0.000000
# column units
#   area:		arcsec**2
#   surf_bri:		cnts/arcsec**2
#   err_rate:		cnts/arcsec**2
#   radii:		arcsecs
#   angles:		degrees

# summed background-subtracted results
upto       counts     error   background    berror      area  surf_bri  err_rate      rad1      rad2    angle1    angle2
  65     1339.000    36.592        0.000     0.000 147943.95     0.009     0.000    272.00    280.00        NA        NA
  66     1377.000    37.108        0.000     0.000 159687.44     0.009     0.000    280.00    296.00        NA        NA
  67     1424.000    37.736        0.000     0.000 170842.72     0.008     0.000    296.00    312.00        NA        NA
  68     1463.000    38.249        0.000     0.000 180246.18     0.008     0.000    312.00    328.00        NA        NA
  69     1490.000    38.601        0.000     0.000 189269.60     0.008     0.000    328.00    344.00        NA        NA
  70     1526.000    39.064        0.000     0.000 198081.21     0.008     0.000    344.00    360.00        NA        NA
  71     1553.000    39.408        0.000     0.000 206737.18     0.008     0.000    360.00    376.00        NA        NA
  72     1582.000    39.774        0.000     0.000 215248.63     0.007     0.000    376.00    392.00        NA        NA
  73     1609.000    40.112        0.000     0.000 221108.76     0.007     0.000    392.00    408.00        NA        NA
  74     1622.000    40.274        0.000     0.000 224874.31     0.007     0.000    408.00    424.00        NA        NA
  75     1626.000    40.324        0.000     0.000 227253.31     0.007     0.000    424.00    440.00        NA        NA
  76     1632.000    40.398        0.000     0.000 228915.57     0.007     0.000    440.00    456.00        NA        NA
  77     1635.000    40.435        0.000     0.000 231723.75     0.007     0.000    456.00    472.00        NA        NA
  78     1635.000    40.435        0.000     0.000 236575.20     0.007     0.000    472.00    488.00        NA        NA
  79     1635.000    40.435        0.000     0.000 242669.89     0.007     0.000    488.00    504.00        NA        NA
  80     1635.000    40.435        0.000     0.000 248053.63     0.007     0.000    504.00    520.00        NA        NA


# background-subtracted results
 reg       counts     error   background    berror      area  surf_bri  err_rate      rad1      rad2    angle1    angle2
---- ------------ --------- ------------ --------- --------- --------- --------- --------- --------- --------- ---------
   1        2.000     1.414        0.000     0.000      0.24     8.262     5.842      0.00      2.00        NA        NA
   2      142.000    11.916        0.000     0.000     19.85     7.154     0.600      2.00      4.00        NA        NA
   3       73.000     8.544        0.000     0.000     42.36     1.723     0.202      4.00      6.00        NA        NA
   4       39.000     6.245        0.000     0.000     56.40     0.691     0.111      6.00      8.00        NA        NA
   5       36.000     6.000        0.000     0.000     84.48     0.426     0.071      8.00     10.00        NA        NA
   6       33.000     5.745        0.000     0.000    110.87     0.298     0.052     10.00     12.00        NA        NA
   7       20.000     4.472        0.000     0.000    131.92     0.152     0.034     12.00     14.00        NA        NA
   8       21.000     4.583        0.000     0.000    159.52     0.132     0.029     14.00     16.00        NA        NA
   9       21.000     4.583        0.000     0.000    188.57     0.111     0.024     16.00     18.00        NA        NA
  10       16.000     4.000        0.000     0.000    210.60     0.076     0.019     18.00     20.00        NA        NA
  11       10.000     3.162        0.000     0.000    235.53     0.042     0.013     20.00     22.00        NA        NA
  12       15.000     3.873        0.000     0.000    260.46     0.058     0.015     22.00     24.00        NA        NA
  13       16.000     4.000        0.000     0.000    287.57     0.056     0.014     24.00     26.00        NA        NA
  14       19.000     4.359        0.000     0.000    307.91     0.062     0.014     26.00     28.00        NA        NA
  15        9.000     3.000        0.000     0.000    335.98     0.027     0.009     28.00     30.00        NA        NA
  16        5.000     2.236        0.000     0.000    354.38     0.014     0.006     30.00     32.00        NA        NA
  17        8.000     2.828        0.000     0.000    390.21     0.021     0.007     32.00     34.00        NA        NA
  18       14.000     3.742        0.000     0.000    417.08     0.034     0.009     34.00     36.00        NA        NA
  19        7.000     2.646        0.000     0.000    433.05     0.016     0.006     36.00     38.00        NA        NA
  20       12.000     3.464        0.000     0.000    456.77     0.026     0.008     38.00     40.00        NA        NA
  21       12.000     3.464        0.000     0.000    488.24     0.025     0.007     40.00     42.00        NA        NA
  22        9.000     3.000        0.000     0.000    521.16     0.017     0.006     42.00     44.00        NA        NA
  23        8.000     2.828        0.000     0.000    549.49     0.015     0.005     44.00     46.00        NA        NA
  24        6.000     2.449        0.000     0.000    575.63     0.010     0.004     46.00     48.00        NA        NA
  25       15.000     3.873        0.000     0.000    597.17     0.025     0.006     48.00     50.00        NA        NA
  26       10.000     3.162        0.000     0.000    608.55     0.016     0.005     50.00     52.00        NA        NA
  27       10.000     3.162        0.000     0.000    637.35     0.016     0.005     52.00     54.00        NA        NA
  28        6.000     2.449        0.000     0.000    650.67     0.009     0.004     54.00     56.00        NA        NA
  29       13.000     3.606        0.000     0.000    703.92     0.018     0.005     56.00     58.00        NA        NA
  30       14.000     3.742        0.000     0.000    726.68     0.019     0.005     58.00     60.00        NA        NA
  31       16.000     4.000        0.000     0.000   1519.68     0.011     0.003     60.00     64.00        NA        NA
  32       22.000     4.690        0.000     0.000   1629.82     0.013     0.003     64.00     68.00        NA        NA
  33       16.000     4.000        0.000     0.000   1719.86     0.009     0.002     68.00     72.00        NA        NA
  34       12.000     3.464        0.000     0.000   1813.30     0.007     0.002     72.00     76.00        NA        NA
  35       22.000     4.690        0.000     0.000   1930.94     0.011     0.002     76.00     80.00        NA        NA
  36       21.000     4.583        0.000     0.000   2035.27     0.010     0.002     80.00     84.00        NA        NA
  37       12.000     3.464        0.000     0.000   2124.35     0.006     0.002     84.00     88.00        NA        NA
  38       18.000     4.243        0.000     0.000   2235.95     0.008     0.002     88.00     92.00        NA        NA
  39       20.000     4.472        0.000     0.000   2154.61     0.009     0.002     92.00     96.00        NA        NA
  40       12.000     3.464        0.000     0.000   2146.14     0.006     0.002     96.00    100.00        NA        NA
  41       15.000     3.873        0.000     0.000   2161.15     0.007     0.002    100.00    104.00        NA        NA
  42       14.000     3.742        0.000     0.000   2190.44     0.006     0.002    104.00    108.00        NA        NA
